CH1,CH2,class
34,38,2
27,44,2
35,79,2
23,63,2
17,39,2
25,54,2
18,41,2
22,40,2
17,42,2
15,34,2
20,44,2
21,37,2
128,78,3
111,54,3
124,50,3
95,60,3
111,61,3
69,59,3
109,48,3
227,68,3
151,87,3
225,79,3
200,54,3
191,19,1
169,20,1
142,17,1
108,19,1
122,17,1
74,14,1
76,16,1
73,19,1
49,16,1
5,3,0
5,3,0
6,3,0
5,3,0
5,3,0
5,3,0
6,3,0
5,3,0
6,3,0
