CH1,CH2,class
5,10,2
6,8,2
5,8,2
6,12,2
6,9,2
6,8,2
6,9,2
6,9,2
6,9,2
5,9,2
6,11,2
6,9,2
6,10,2
6,8,2
6,12,2
12,7,1
12,7,1
9,6,1
11,7,1
10,7,1
14,7,1
9,7,1
10,6,1
12,7,1
11,7,1
14,6,1
10,7,1
11,7,1
12,7,1
13,8,1
8,3,0
7,3,0
5,3,0
5,3,0
5,3,0
4,4,0
5,3,0
5,4,0
4,3,0
5,3,0
5,3,0
5,3,0
5,4,0
5,3,0
4,3,0
13,13,3
10,10,3
11,10,3
11,13,3
8,9,3
8,8,3
13,11,3
9,9,3
17,12,3
13,13,3
9,10,3
9,9,3
9,10,3
8,7,3
11,11,3
