CH1,CH2
4,2
1,9
2,18
11,21
21,17
25,5
24,8
19,14
15,13
10,9
5,12
0,21
1,31
6,39
12,36
11,21
3,1
7,21
14,30
16,31
10,24
0,7
12,11
28,22
37,20
37,9
26,1
10,9
5,18
12,28
8,38
0,38
4,25
1,6
6,15
10,32
11,38
5,35
0,26
5,15
7,5
5,0
1,1
0,0
1,1
2,5
0,8
2,7
4,1
4,4
3,7
6,5
9,1
14,0
16,4
10,16
0,25
4,24
5,14
6,5
10,1
17,1
22,0
23,2
14,1
2,5
4,15
1,22
11,23
25,20
30,17
19,13
1,4
12,7
18,22
16,38
9,48
1,46
6,28
13,8
15,4
15,6
15,8
16,19
14,36
7,44
1,35
13,13
24,6
33,14
31,12
17,6
5,0
27,4
38,7
37,10
25,12
11,12
2,9
0,0
3,9
10,12
16,4
20,12
14,25
0,19
17,3
30,25
34,32
29,23
16,7
1,8
10,20
19,29
24,35
22,35
15,30
3,21
7,11
16,3
23,3
28,7
26,11
13,8
7,1
28,17
39,33
38,42
28,37
18,13
12,19
4,50
4,72
13,78
18,69
16,49
5,24
7,3
18,9
24,13
29,9
32,6
34,9
28,19
13,33
7,44
25,47
37,40
42,29
39,17
30,7
15,0
0,5
12,5
19,3
22,20
23,33
21,31
19,17
16,2
11,2
4,1
1,6
2,4
10,3
17,14
24,23
24,24
19,19
8,9
2,0
7,1
9,3
11,7
15,6
20,0
22,7
20,15
15,18
8,20
1,22
11,21
21,13
30,1
40,20
45,33
41,33
26,21
5,6
13,5
28,9
39,5
39,1
28,0
11,1
1,1
7,5
11,11
15,16
16,19
11,21
4,19
